gene	cell_line	condition	regulation	p_value	q_value	A549_C36_vs_Veh	A549_E07_vs_C36	A549_E07_vs_Veh	H1975_C36_vs_Veh	H1975_E07_vs_C36	H1975_E07_vs_Veh	H3255_C36_vs_Veh	H3255_E07_vs_C36	H3255_E07_vs_Veh	H820_C36_vs_Veh	H820_E07_vs_C36	H820_E07_vs_Veh
APEX1	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						2.46545						
APEX1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.49079				
APEX1	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										1.88913		
APEX1	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-2.10812	
APLN	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.638009							
APLN	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.888165						
APLN	H3255	E07_vs_C36	downregulated	0.00055	0.00602866								-0.854215				
APLN	H3255	E07_vs_Veh	downregulated	0.00335	0.0248675									-0.775228			
APOBR	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					1.33134							
APOBR	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.904548						
APOE	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.5169189999999999							
APOE	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.5745939999999999						
APOL1	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.548361											
APOL3	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.709816											
APOL6	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.623432			
APOO	H3255	E07_vs_C36	downregulated	0.00105	0.0101059								-0.504599				
AQP1	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.553449						
AQP11	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.594115							
AQP11	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.689797						
AQP3	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.711511							
AQP3	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.541652						
AQP3	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.5765140000000001				
AQP3	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.687862			
AQP4	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.30081				
AQP4	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.960453			
AQP4	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.779135		
AQP7	H1975	E07_vs_Veh	upregulated	0.00035	0.00998837						1.30609						
AR	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.7768729999999999				
AR	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.676026			
ARAP3	H3255	E07_vs_Veh	downregulated	0.00035	0.00397444									-0.63969			
AREG	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.552682							
AREG	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.611266						
AREG	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.49757				
AREG	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.54766			
ARHGAP11A-2	H1975	E07_vs_Veh	downregulated	0.00155	0.0303617						-0.7199720000000001						
ARHGAP11A-2	H3255	E07_vs_C36	downregulated	0.00705	0.0465815								-0.741758				
ARHGAP11A-2	H3255	E07_vs_Veh	downregulated	0.0001	0.00135278									-1.20151			
ARHGAP11A-2	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										1.13218		
ARHGAP11A-3	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.709661				
ARHGAP11A-3	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										3.34999		
ARHGAP11A-3	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-3.25318	
ARHGAP11B-3	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.616891			
ARHGAP17	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.980184											
ARHGAP17	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.8595									
ARHGAP17	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							0.8018850000000001					
ARHGAP17	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.04155				
ARHGAP17	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										0.913704		
ARHGAP17	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												0.8937209999999999
ARHGAP23	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										0.536688		
ARHGAP23	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-0.601564	
ARHGAP23-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					1.12717							
ARHGAP23-2	H1975	E07_vs_Veh	upregulated	0.00185	0.0342143						0.696283						
ARHGAP23-2	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										0.8672139999999999		
ARHGAP23-2	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-1.08074	
ARHGAP27	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-1.0718									
ARHGAP30	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.680873							
ARHGAP45	H3255	E07_vs_C36	downregulated	0.00075	0.00769694								-0.543543				
ARHGAP45	H3255	E07_vs_Veh	downregulated	0.00015	0.00192713									-0.603657			
ARHGEF10-2	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-1.63236											
ARHGEF10-2	A549	E07_vs_C36	upregulated	5e-05	0.00476088		1.35408										
ARHGEF10-2	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.8502790000000001							
ARHGEF10-2	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.908172						
ARHGEF17	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.5127390000000001			
ARHGEF19-2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-1.6406900000000002					
