gene,H1975_Veh_vs_H1975_C36,H3255_Veh_vs_H3255_C36,H820_Veh_vs_H820_E07,H1975_Veh_vs_H1975_E07,H3255_E07_vs_H3255_C36,H820_Veh_vs_H820_C36,H820_E07_vs_H820_C36,H3255_Veh_vs_H3255_E07,A549_E07_vs_A549_C36,H1975_E07_vs_H1975_C36,A549_Veh_vs_A549_E07,A549_Veh_vs_A549_C36
DNAJB9,0.0760467,0.0374722,-0.16603900000000002,-0.0861595,0.0780228,-0.0747428,0.0900844,-0.035894300000000004,-0.0161857,0.164799,-0.0141007999999999,-0.0304161
DNAJC1,-0.1454119999999999,0.130931,-0.08523610000000001,-0.11485,-0.0563247,-0.0412978,0.0427634,0.191751,-0.0490195,-0.027853100000000002,0.0263887999999999,-0.0226107
DNAJC10,0.0699511999999999,0.0088574,-0.00236933,0.20930900000000002,-0.00536471,0.036697900000000006,0.0379033,0.0187792,0.052924900000000004,-0.136701,-0.00357829,0.0491389999999999
DNAJC11,0.0175555999999999,0.0173984,-0.027066700000000003,0.14786,-0.1111119999999999,-0.0482333,-0.0223379,0.133134,-0.0249833,-0.127606,-0.0263551,-0.0515544999999999
DNAJC12,0.32724200000000003,0.0269454999999999,0.113853,0.05244580000000001,0.36029,0.1049809999999999,-0.00998466,-0.328922,-0.00655926,0.277463,-0.11459100000000001,-0.1216319999999999
DNAJC13,0.0920347,-0.0937215,0.1088619999999999,0.000643329,-0.0602298999999999,0.0194152,-0.0906086,-0.0288797,0.0958719,0.0940112,-0.0485421999999999,0.0470371999999999
DNAJC14,-0.0972653,0.0442755,-0.0358432,-0.0555313999999999,-0.0851657,-0.079342,-0.0446545,0.133893,-0.119279,-0.03906230000000001,0.0691594,-0.0503036
DNAJC15,-0.573855,0.138895,0.0989196,-0.1146549999999999,0.143526,0.0834029,-0.016708,-0.000141559,-0.042936800000000004,-0.456404,0.18059,0.138406
DNAJC16,-0.0332268,-0.0832505,-0.0976766999999999,-0.0148047,0.0677924999999999,-0.139346,-0.0428172,-0.146492,0.00182116,-0.015894,0.0111272,0.0126788
DNAJC17,-0.125743,0.289163,-0.144647,0.0969333999999999,0.11879200000000001,-0.0200893,0.123421,0.17463900000000002,-0.469553,-0.22027600000000003,0.0680172,-0.401458
DNAJC18-2,1.53663,-0.801559,1.94885,1.03932,-0.115909,2.50932,0.559401,-0.6802,0.31987600000000005,0.500221,0.160937,0.4805439999999999
DNAJC19,-0.0920059999999999,-0.111979,0.140874,-0.0984206,-0.024545400000000002,0.0915969,-0.0504827,-0.0829309999999999,0.0274205999999999,0.00907201,-0.14313900000000002,-0.1157849999999999
DNAJC19P5,0.236035,-1.3366799999999999,1.47997,0.6265149999999999,0.515979,1.21164,-0.269955,-1.84802,0.284882,-0.387121,-0.784076,-0.502058
DNAJC19P8,-0.148093,-0.0066877843941851,0.0,0.0075388506739259,-0.9432459999999999,0.0,0.0,-0.0034845568947622,0.0,-0.0083512901991925,0.0,0.0
DNAJC19P9,-0.180087,0.595508,-0.00552457,-0.0736753,0.315118,-0.063046,-0.0587366,0.284643,0.0661008999999999,-0.103506,-0.032472100000000004,0.033637400000000005
DNAJC2,0.0419156,0.106733,0.1087839999999999,0.230796,-0.035354500000000004,0.029903100000000002,-0.0800216,0.1466319999999999,0.0509719,-0.186197,-0.0790424,-0.0281389
DNAJC21,0.0836385,0.0376128,-0.055863800000000005,0.121255,-0.175777,-0.0220844,0.032596,0.217941,0.06944960000000001,-0.0350196999999999,-0.054461300000000004,0.0147923
DNAJC22,0.0171087,0.0815727,0.0765029,-0.201479,-0.32812600000000003,0.0316247,-0.046052800000000005,0.4142399999999999,0.0565800999999999,0.221268,0.051563300000000006,0.107966
DNAJC24,-0.0607997,-0.0743607,0.1114,-0.00559613,-0.215639,-0.0357,-0.148258,0.145859,0.0488486,-0.05253680000000001,-0.0620805,-0.0133885
DNAJC25,-0.0198408,-0.0139479999999999,-0.048306800000000004,0.0310435,-0.139239,-0.161313,-0.114177,0.129781,0.1287319999999999,-0.0482642,-0.19654000000000002,-0.0680804999999999
DNAJC25-GNG10,0.088815285352227,-0.732431,0.0,0.587899,0.450269,0.0,0.0,-1.17784,0.0,0.0601298605684029,0.0,0.0
DNAJC27,-0.120405,0.0716375,-0.0328921,0.0504376,0.24344200000000002,-0.1741339999999999,-0.1424609999999999,-0.16711700000000002,-0.0674964,-0.168181,0.0356557,-0.0321103
DNAJC27-AS1,-0.20996900000000002,-0.0102594,-0.0984184,-0.8404459999999999,0.268223,-0.18617,-0.0889446,-0.274581,0.3053349999999999,0.633283,-0.692415,-0.386965
DNAJC28,0.7698,0.634521,-1.09396,0.017198170403086997,1.8200900000000002,-0.5088689999999999,0.583846,-1.17864,0.0089271456772259,-0.0101177225083223,1.05287,0.0183866302986942
DNAJC3,0.0359327,0.0686621999999999,0.0371076,-0.061268600000000006,-0.00496786,0.00787914,-0.030391500000000002,0.0782046,0.0674384,0.0998931,-0.0373881,0.0298789
DNAJC3-DT,-0.020345,0.0244392,-0.0669405,-0.0363796999999999,0.35346700000000003,-0.251767,-0.18604400000000001,-0.324379,0.232692,0.0186378,-0.605829,-0.3736
DNAJC30,0.0659158,0.107302,0.112597,-0.0847352,0.2013,0.163785,0.0500281999999999,-0.0894359,0.071513,0.15336,0.12106300000000002,0.192625
DNAJC4,-0.204741,-0.110696,0.0254297,-0.4190899999999999,0.313154,0.0451898,0.018655500000000002,-0.4193149999999999,-0.101497,0.21710300000000002,0.1208089999999999,0.0191775
DNAJC5,-0.11171500000000001,-0.0484121,-0.0499708,-0.000836265,-0.0516549,-0.05828680000000001,-0.00949326,0.0077686000000000005,-0.0962793,-0.1082349999999999,-0.0315029,-0.128002
DNAJC5B,-0.061774,0.0,0.0072019037978409,-1.12781,0.0,0.0071548900438485,0.0,0.0,0.00894279,1.0695,0.143104,0.152757
DNAJC6,0.0762318,0.181719,-0.168685,0.0408859,0.1847339999999999,-0.264214,-0.0967145,0.00163076,0.102897,0.037955300000000004,0.054486900000000005,0.157173
DNAJC7,0.0678038,-0.0198007999999999,0.017492700000000003,0.171293,-0.16933800000000002,0.00759806,-0.0110709,0.15408,-0.06647810000000001,-0.100832,0.063424,-0.00314479
DNAJC8,0.0338075999999999,0.0669649,0.0477584999999999,0.12626600000000002,-0.1348859999999999,-0.0147388,-0.0636543,0.206411,0.109704,-0.0898101999999999,0.021620900000000002,0.131188
DNAJC8-2,-1.37053,0.513808,-0.38976500000000003,1.3872200000000001,-0.835415,-0.197854,0.190664,1.35332,0.776208,-2.75466,-0.0115004,0.76779
DNAJC8P1,0.0680943,-0.140963,0.0388055,0.141262,-0.25922,-0.13283,-0.172727,0.122918,0.052709000000000006,-0.0703285,0.0538607,0.106477
DNAJC8P2,0.1093089999999999,0.148488,0.0340981,0.2181739999999999,-0.154555,-0.0335435,-0.0688023,0.30756700000000003,-0.411929,-0.106478,-0.030256,-0.4422689999999999
DNAJC9,0.0666857,0.08926210000000001,0.126175,0.317344,-0.195157,0.09661950000000001,-0.0307322999999999,0.288945,0.10678900000000001,-0.248015,0.159673,0.266317
DNAJC9-AS1,-0.144564,0.588217,0.38295500000000005,0.123418,-0.0848032,0.513605,0.1294539999999999,0.677476,-0.0849911,-0.265491,0.229762,0.144504
DNAL1,0.109729,-0.000300707,0.0714602,0.0285613,-0.0171113,0.00952929,-0.0630653,0.021358500000000002,0.0944977,0.0837395,-0.0571020999999999,0.037058600000000004
DNAL4,-0.14636,-0.106958,0.138129,-0.18749200000000002,0.167519,0.1693339999999999,0.0300043,-0.269879,-0.0132731,0.0438583,-0.0720652,-0.0857032
DNALI1,-0.161908,0.0106139085420873,0.909583,0.255268,0.0172234032842431,-0.59944,-1.51134,-0.681479,-0.0540010999999999,-0.414498,0.14927200000000002,0.096341
DNASE1,-0.021056400000000003,-0.011308,-0.00990506,-0.1223809999999999,0.1060869999999999,0.053198,0.0619823,-0.11289400000000001,-0.203765,0.10404100000000001,-0.00667439,-0.2107679999999999
DNASE1L1,0.033505,0.0884843,-0.0370816,-0.169253,0.200783,0.00581585,0.0417527,-0.1077299999999999,0.050244,0.20545100000000002,-0.04872,0.00127764
DNASE1L2,0.00340266,-0.395894,-0.458556,-0.341515,0.0666909,-0.4903979999999999,-0.0330196999999999,-0.45663400000000004,-0.07060620000000001,0.347407,-0.224009,-0.294889
DNASE1L3,-0.0118346037240849,0.0,0.0,-0.0099168562232086,0.0,-0.0210688917105567,-0.0212080771845328,0.0,0.0265105708008182,-0.256738,-0.7167100000000001,0.0160602363245384
DNASE2,-0.0682118999999999,-0.017122400000000003,0.0156222999999999,-0.2772989999999999,0.303313,0.1113369999999999,0.0945423,-0.315909,-0.100136,0.211781,-0.033848500000000004,-0.134034
DNASE2B,0.0386473025901823,-0.018335919874629,-0.0183564321709522,0.020511,1.6566900000000002,0.0,0.0183466033986895,-0.0570530214566995,-0.0303003372334688,0.0383357373656029,0.0159636438853219,-0.9188850000000001
DND1,-0.0991609,0.125585,0.104788,-0.181169,0.585634,0.2728489999999999,0.166846,-0.45586000000000004,-0.144182,0.084785,-0.043160500000000004,-0.187143
DND1P1,0.24388,0.385444,-1.1684700000000001,0.865532,-0.9337709999999999,-1.30558,-0.139121,1.32324,-1.79198,-0.617646,0.0,0.736937
DND1P1-2,0.848029,-0.755522,-0.42197700000000005,-0.353204,0.4395779999999999,-0.203079,0.218133,-1.1897799999999998,-0.959483,1.20459,2.45296,1.4955399999999999
DND1P2,0.0084677991970879,-1.60076,-0.0173363043303844,0.214896,0.6647310000000001,-0.0092237674623273,0.903903,-2.2591900000000003,1.00157,0.0073474716326377,-0.531327,0.468948
DND1P2-2,-1.27659,0.0203935306945599,0.4308079999999999,0.0186558215231593,0.0,-0.897483,-1.33008,0.0204673536998065,-1.05352,-0.0448519318867686,1.59225,0.542074
DND1P2-3,1.36156,0.0529216530472544,0.0282653055996602,-0.591749,0.0174288138794457,0.622099,-0.0184205312172861,1.6413400000000002,1.1755200000000001,1.9530599999999998,-0.234775,0.9412790000000001
DNER,0.0982377,0.216023,-0.760716,0.356547,0.689867,0.0332208,0.7924640000000001,-0.470398,0.10344400000000001,-0.255738,-0.08263480000000001,0.0206867999999999
DNHD1,-0.064975,-0.38324,-0.06872400000000001,-0.134201,-0.12031300000000002,0.0308582,0.0984458999999999,-0.258298,-0.0632843,0.0718949,0.0966824,0.0328056999999999
DNLZ,0.00270519,0.0396973,0.137242,0.07693480000000001,-0.149325,0.025253400000000002,-0.113192,0.193385,0.0822523999999999,-0.0715493999999999,0.200963,0.282965
DNM1,0.0269851,0.00182992,0.0380757,-0.0305564,-0.027130200000000004,0.0494915,0.0102827,0.0334830999999999,0.074765,0.0603156,0.13199,0.2065179999999999
DNM1L,0.09240880000000001,0.067267,0.0428570999999999,0.1076329999999999,-0.117066,-0.0526279999999999,-0.0966768999999999,0.188894,0.0869943,-0.0125488999999999,0.0152486,0.101995
DNM1P17,1.76977,0.0,-0.139293,-1.24334,0.0,-2.55297,-2.4144200000000002,0.0,-0.917851,3.01303,-0.558211,-1.4768
DNM1P18,-1.6479099999999998,0.0587509359730458,-0.0141132284382877,-2.0491099999999998,0.0373556522711847,-0.0248292846850443,-0.830982,0.6849390000000001,-0.0264336567883732,0.40315500000000004,0.033101987103585,0.34048
DNM1P19,-0.0131745139496569,-0.6796939999999999,0.0053808,-0.093689566719196,0.23698000000000002,-0.162455,-0.169347,-0.9124030000000001,-1.37691,2.8686,-0.280355,-1.65681
DNM1P32,-0.0085990846554912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0086635613187823,0.0,0.0
DNM1P33,0.0284076178855445,0.0,0.0,0.0285002689361708,0.0,0.0,0.0,0.0,-0.531401,0.0,-1.2682200000000001,-1.79931
DNM1P35,-0.253328,0.220283,-0.0648050999999999,-0.574331,0.38623,0.33283,0.39682,-0.161429,-0.00183998,0.324058,-0.444916,-0.44652200000000003
DNM1P37,-0.0121713288218845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0126319862247839,-0.0122234151140922,0.0173110734238189,0.46983400000000003
DNM1P41,2.32044,0.634065,0.0031644544308903,0.203029,-0.720928,-0.916177,-0.0059641490489675,1.35894,0.158629,2.11712,-0.636373,-0.478436
DNM1P41-2,-0.22376300000000002,0.26829000000000003,2.05804,-1.21484,0.3700219999999999,1.68682,-0.373154,-0.0986533,0.0059975960430147,0.9937969999999999,-0.0059585888420577,0.0
DNM1P41-3,-1.14917,-1.65143,-0.328203,-1.26301,-1.55016,1.04877,1.37595,-0.0986451,0.0027200306133708,0.119039,1.75895,0.009141367489191001
DNM1P44,0.0170021372264398,0.0,0.0,0.0170578846437752,0.0,0.0,0.0,0.0,0.0,0.0,0.0331908124741057,0.0332883730867501
